식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,출처명,수입여부,원산지국코드,원산지국명,원산지역명,생산·채취·포획월,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자
R101-001010101-0000,귀리_겉귀리_도정_생것,R,원재료성 식품,1,식물성,01,곡류,01001,귀리,0100101,겉귀리,010010101,도정,01,생것,100g,388,11.7,9.88,8.84,1.56,68.03,0.92,7.6,52,5.3,361,423,3,0,0,0,0.372,0.077,1.415,0,0,0,1.51,0.02,0,1,농촌진흥청(국가표준식품성분표),N,,해당없음,해당없음,,1,분석,2021-05-01,2025-02-24
R101-001020101-0000,귀리_쌀귀리_도정_생것,R,원재료성 식품,1,식물성,01,곡류,01001,귀리,0100102,쌀귀리,010010201,도정,01,생것,100g,388,11.6,11.14,8.9,1.7,66.66,0.91,8.1,61,4.31,409,405,1,0,0,2,0.467,0.054,1.194,0,0,0,1.45,0.01,0,1,농촌진흥청(국가표준식품성분표),N,,해당없음,해당없음,,1,분석,2020-04-01,2025-02-24
R101-001030101-0000,귀리_쌀귀리+대양_도정_생것,R,원재료성 식품,1,식물성,01,곡류,01001,귀리,0100103,쌀귀리+대양,010010301,도정,01,생것,100g,386,11.8,11.51,8.78,1.81,66.1,0.91,7.8,59,4.25,439,428,2,0,0,2,0.466,0.051,1.211,0,0,0,1.37,0.01,0,1,농촌진흥청(국가표준식품성분표),N,,해당없음,해당없음,,1,분석,2020-04-01,2025-02-24
R101-001040101-0000,귀리_쌀귀리+조양_도정_생것,R,원재료성 식품,1,식물성,01,곡류,01001,귀리,0100104,쌀귀리+조양,010010401,도정,01,생것,100g,390,11.4,10.78,9.01,1.6,67.23,0.91,8.4,63,4.37,379,383,1,0,0,2,0.467,0.057,1.177,0,0,0,1.53,0.01,0,1,농촌진흥청(국가표준식품성분표),N,,해당없음,해당없음,,1,분석,2020-04-01,2025-02-24
R101-003000101-0000,기장_도정_생것,R,원재료성 식품,1,식물성,01,곡류,01003,기장,0100300,해당없음,010030001,도정,01,생것,100g,360,11.3,11.2,1.9,1,74.6,,,15,2.8,226,233,6,0,0,0,0.42,0.09,2.9,0,,,,,0,1,농촌진흥청(국가표준식품성분표),N,,해당없음,해당없음,,1,분석,2006-12-31,2025-02-24
R101-003010101-0000,기장_찰기장_도정_생것,R,원재료성 식품,1,식물성,01,곡류,01003,기장,0100301,찰기장,010030101,도정,01,생것,100g,371,11.3,13.41,3.69,1.57,70,0.61,4.4,19,4.57,354,288,4,0,0,6,0.623,0.061,0.481,0,0,0,0.52,0,0,1,농촌진흥청(국가표준식품성분표),N,,해당없음,해당없음,,1,분석,2023-05-01,2025-02-24
R101-003020101-0000,기장_찰기장+이백찰_도정_생것,R,원재료성 식품,1,식물성,01,곡류,01003,기장,0100302,찰기장+이백찰,010030201,도정,01,생것,100g,373,11.2,13.72,4.03,1.59,69.49,0.61,4.7,27,5.81,385,366,4,0,0,5,0.718,0.077,0.817,0,0,0,0.53,0,0,1,농촌진흥청(국가표준식품성분표),N,,해당없음,해당없음,,1,분석,2019-04-01,2025-02-24
R101-003030101-0000,기장_찰기장+한라찰_도정_생것,R,원재료성 식품,1,식물성,01,곡류,01003,기장,0100303,찰기장+한라찰,010030301,도정,01,생것,100g,373,11.3,12.8,4.35,1.81,69.78,0.61,4.7,26,5.46,436,328,7,0,0,4,0.633,0.054,0.806,0,0,0,0.59,0,0,1,농촌진흥청(국가표준식품성분표),N,,해당없음,해당없음,,1,분석,2019-04-01,2025-02-24
R101-003040101-0000,기장_찰기장+황실찰_도정_생것,R,원재료성 식품,1,식물성,01,곡류,01003,기장,0100304,찰기장+황실찰,010030401,도정,01,생것,100g,368,11.5,15.55,3.62,1.89,67.42,0.61,4.7,23,5.14,371,307,7,0,0,4,0.769,0.073,0.81,0,0,0,0.48,0,0,1,농촌진흥청(국가표준식품성분표),N,,해당없음,해당없음,,1,분석,2019-04-01,2025-02-24
R101-004000101-0000,메밀_도정_생것,R,원재료성 식품,1,식물성,01,곡류,01004,메밀,0100400,해당없음,010040001,도정,01,생것,100g,363,13.1,13.64,3.38,2.04,67.84,0.3,6.3,21,2.78,453,444,1,1,0,7,0.458,0.255,5.189,0,0,0,0.71,0,0,1,농촌진흥청(국가표준식품성분표),N,,해당없음,해당없음,,1,분석,2014-12-31,2025-02-24
