식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,출처명,수입여부,원산지국코드,원산지국명,원산지역명,생산·채취·포획월,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자
R211-001014001-0759,가라지류_가라지_육_생것_여수_6월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11001,가라지류,1100101,가라지,110010140,육,01,생것,100g,78,81.5,14.81,1.30,1.70,0.69,0.69,0.0,35,1.71,217,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),N,410,대한민국,여수,06,1,분석,2009-11-30,2025-01-13
R211-461014704-0000,가리비류_가리비_관자(패주)_삶아서 말린것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610147,관자(패주),04,삶아서 말린것,100g,334,17.1,65.70,1.40,8.20,7.60,,0.0,34,1.20,610,810,2500,,,,0.120,0.300,4.600,0.00,0.00,,0.13,,0,2,국립수산과학원(표준수산물성분표),N,410,대한민국,대표,,1,분석,2020-11-30,2025-01-13
R211-461014701-0000,가리비류_가리비_관자(패주)_생것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610147,관자(패주),01,생것,100g,91,78.4,16.90,0.30,1.30,3.50,,0.0,7,0.20,230,380,120,1,1,0,0.010,0.060,1.900,2.00,0.00,,0.03,,0,2,국립수산과학원(표준수산물성분표),N,410,대한민국,대표,,1,분석,2020-11-30,2025-01-13
R211-461014002-0000,가리비류_가리비_육_말린것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610140,육,02,말린것,100g,387,14.1,77.60,0.40,3.50,4.40,,0.0,6,3.00,85,960,2300,0,0,0,,,,,,,,,0,2,국립수산과학원(표준수산물성분표),N,410,대한민국,대표,,1,분석,1982-11-30,2025-01-13
R211-461014046-0000,가리비류_가리비_육_삶은것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610140,육,46,삶은것,100g,99,76.8,17.60,1.90,1.80,1.90,,0.0,24,2.80,250,330,250,34,15,230,0.040,0.290,1.900,2.00,0.00,,0.27,,60,2,국립수산과학원(표준수산물성분표),N,410,대한민국,대표,,1,분석,2020-11-30,2025-01-13
R211-461014001-0000,가리비류_가리비_육_생것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610140,육,01,생것,100g,89,81.6,15.18,1.73,1.69,0.00,0.22,0.0,65,2.95,110,221,735,,,,0.130,0.100,,2.00,0.00,,0.19,0.02,0,2,국립수산과학원(표준수산물성분표),N,410,대한민국,대표,,1,분석,2016-11-30,2025-01-13
R211-461014028-0000,가리비류_가리비_육_통조림_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610140,육,28,통조림,100g,119,71.8,21.60,0.30,1.90,4.40,,0.0,45,1.40,112,250,500,0,0,0,0.020,0.150,,,,,,,0,2,국립수산과학원(표준수산물성분표),N,410,대한민국,대표,,1,분석,1982-11-30,2025-01-13
R211-461034001-0000,가리비류_국자가리비_육_생것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146103,국자가리비,114610340,육,01,생것,100g,61,84.9,10.80,0.80,2.00,1.50,,0.0,48,2.00,170,260,450,6,5,9,0.000,0.200,1.400,,0.00,,0.13,,65,2,국립수산과학원(표준수산물성분표),N,410,대한민국,대표,,1,분석,2020-11-30,2025-01-13
R211-461057401-0006,"가리비류_비단가리비_양식,육_생것_대표_6월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146105,비단가리비,114610574,"양식,육",01,생것,100g,64,85.2,11.23,1.06,0.95,1.61,,,12,1.08,135,125,129,13,2,127,0.000,0.070,0.000,,,14.30,0.17,0.00,61,2,국립수산과학원(표준수산물성분표),N,410,대한민국,대표,06,1,분석,2023-11-30,2025-01-13
R211-461054001-1052,가리비류_비단가리비_육_생것_충무_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146105,비단가리비,114610540,육,01,생것,100g,76,81.0,14.50,1.00,2.10,1.40,1.40,0.0,61,3.20,163,,,,0,,0.030,0.320,2.800,1.00,,,,,,2,국립수산과학원(표준수산물성분표),N,410,대한민국,충무,,1,분석,2009-11-30,2025-01-13
